Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days,stock
0Q,1,2022-02-28,0.257,2.69,2.39,3.06,2.14,26.0,0.257,50671200000.0,49288000000.0,54281500000.0,23.0,,,2.69,2.7,2.62,2.58,2.55,0.0,16.0,0.0,,COST
+1Q,1,2022-05-31,0.062,2.92,2.75,3.17,2.75,26.0,0.062,48838000000.0,46692000000.0,51458400000.0,23.0,,,2.92,2.92,2.9,2.88,2.87,0.0,12.0,0.0,,COST
0Y,1,2022-08-31,0.153,12.79,12.13,13.87,11.09,28.0,0.153,217685000000.0,213024000000.0,229150000000.0,28.0,195929000000.0,0.111,12.79,12.81,12.24,12.14,12.1,2.0,25.0,0.0,,COST
+1Y,1,2023-08-31,0.091000006,13.96,13.09,16.43,12.79,30.0,0.091000006,234740000000.0,225055000000.0,255542000000.0,27.0,217685000000.0,0.078,13.96,13.97,13.53,13.34,13.23,2.0,22.0,0.0,,COST
+5Y,1,,0.0998,,,,,,,,,,,,,,,,,,,,,,COST
-5Y,1,,0.118,,,,,,,,,,,,,,,,,,,,,,COST
0Q,1,2022-01-31,0.025,0.81,0.8,0.82,0.79,23.0,0.025,12640700000.0,12567300000.0,12727300000.0,21.0,,,0.81,0.81,0.81,0.82,0.82,0.0,0.0,0.0,,CSCO
+1Q,1,2022-04-30,0.048,0.87,0.84,0.93,0.83,23.0,0.048,13299700000.0,12953000000.0,14103000000.0,21.0,,,0.87,0.87,0.87,0.88,0.88,0.0,1.0,0.0,,CSCO
0Y,1,2022-07-31,0.062,3.42,3.38,3.47,3.22,28.0,0.062,52738200000.0,52147900000.0,53914000000.0,27.0,49818000000.0,0.059,3.42,3.42,3.42,3.42,3.43,0.0,3.0,0.0,,CSCO
+1Y,1,2023-07-31,0.076,3.68,3.56,3.9,3.42,27.0,0.076,55365100000.0,53195800000.0,58379000000.0,26.0,52738200000.0,0.05,3.68,3.68,3.68,3.68,3.67,0.0,3.0,1.0,,CSCO
